,pesticide,genotype,rep,dose,alive,dead,total,percent_survival,percent_mortality,stage,date,conditions
576,ivermectin,mdr65ko,1,0.015,17,33,50,0.34,0.66,L1,7.3.16,25d_Hoff
577,ivermectin,mdr65ko,2,0.015,17,33,50,0.34,0.66,L1,7.3.16,25d_Hoff
578,ivermectin,mdr65ko,3,0.015,20,30,50,0.4,0.6,L1,7.3.16,25d_Hoff
579,ivermectin,mdr65ko,4,0.015,12,38,50,0.24,0.76,L1,7.3.16,25d_Hoff
580,ivermectin,mdr65ko,5,0.015,18,32,50,0.36,0.64,L1,7.3.16,25d_Hoff
601,ivermectin,wxac,1,0.04,6,44,50,0.12,0.88,L1,7.3.16,25d_Hoff
602,ivermectin,wxac,2,0.04,4,46,50,0.08,0.92,L1,7.3.16,25d_Hoff
603,ivermectin,wxac,3,0.04,3,47,50,0.06,0.94,L1,7.3.16,25d_Hoff
604,ivermectin,wxac,4,0.04,2,48,50,0.04,0.96,L1,7.3.16,25d_Hoff
605,ivermectin,wxac,5,0.04,1,49,50,0.02,0.98,L1,7.3.16,25d_Hoff
606,ivermectin,mdr49ko,1,0.04,9,41,50,0.18,0.82,L1,7.3.16,25d_Hoff
607,ivermectin,mdr49ko,2,0.04,13,37,50,0.26,0.74,L1,7.3.16,25d_Hoff
608,ivermectin,mdr49ko,3,0.04,7,43,50,0.14,0.86,L1,7.3.16,25d_Hoff
609,ivermectin,mdr49ko,4,0.04,15,35,50,0.3,0.7,L1,7.3.16,25d_Hoff
610,ivermectin,mdr49ko,5,0.04,9,41,50,0.18,0.82,L1,7.3.16,25d_Hoff
611,ivermectin,mdr50ko,1,0.04,2,48,50,0.04,0.96,L1,7.3.16,25d_Hoff
612,ivermectin,mdr50ko,2,0.04,5,45,50,0.1,0.9,L1,7.3.16,25d_Hoff
613,ivermectin,mdr50ko,3,0.04,5,45,50,0.1,0.9,L1,7.3.16,25d_Hoff
614,ivermectin,mdr50ko,4,0.04,2,48,50,0.04,0.96,L1,7.3.16,25d_Hoff
615,ivermectin,mdr50ko,5,0.04,2,48,50,0.04,0.96,L1,7.3.16,25d_Hoff
616,ivermectin,mdr65ko,1,0.04,5,45,50,0.1,0.9,L1,7.3.16,25d_Hoff
617,ivermectin,mdr65ko,2,0.04,5,45,50,0.1,0.9,L1,7.3.16,25d_Hoff
618,ivermectin,mdr65ko,3,0.04,8,42,50,0.16,0.84,L1,7.3.16,25d_Hoff
619,ivermectin,mdr65ko,4,0.04,5,45,50,0.1,0.9,L1,7.3.16,25d_Hoff
620,ivermectin,mdr65ko,5,0.04,6,44,50,0.12,0.88,L1,7.3.16,25d_Hoff
621,ivermectin,wxac,1,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
622,ivermectin,wxac,2,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
623,ivermectin,wxac,3,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
624,ivermectin,wxac,4,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
625,ivermectin,wxac,5,0,46,4,50,0.92,0.08,L1,7.3.16,25d_Hoff
626,ivermectin,mdr49ko,1,0,36,14,50,0.72,0.28,L1,7.3.16,25d_Hoff
627,ivermectin,mdr49ko,2,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
628,ivermectin,mdr49ko,3,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
629,ivermectin,mdr49ko,4,0,43,7,50,0.86,0.14,L1,7.3.16,25d_Hoff
630,ivermectin,mdr49ko,5,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
631,ivermectin,mdr50ko,1,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
632,ivermectin,mdr50ko,2,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
633,ivermectin,mdr50ko,3,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
634,ivermectin,mdr50ko,4,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
635,ivermectin,mdr50ko,5,0,46,4,50,0.92,0.08,L1,7.3.16,25d_Hoff
636,ivermectin,mdr65ko,1,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
637,ivermectin,mdr65ko,2,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
638,ivermectin,mdr65ko,3,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
639,ivermectin,mdr65ko,4,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
640,ivermectin,mdr65ko,5,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
641,spinosad,wxac,1,0.02,47,3,50,0.94,0.06,L1,14.3.17,25d_hoff
642,spinosad,wxac,2,0.02,47,3,50,0.94,0.06,L1,14.3.17,25d_hoff
643,spinosad,wxac,3,0.02,41,9,50,0.82,0.18,L1,14.3.17,25d_hoff
644,spinosad,wxac,4,0.02,43,7,50,0.86,0.14,L1,14.3.17,25d_hoff
645,spinosad,wxac,5,0.02,45,5,50,0.9,0.1,L1,14.3.17,25d_hoff
646,spinosad,mdr49ko,1,0.02,38,12,50,0.76,0.24,L1,14.3.17,25d_hoff
647,spinosad,mdr49ko,2,0.02,42,8,50,0.84,0.16,L1,14.3.17,25d_hoff
